lean	ocaml	recursive	Code.let	Code.fun	Code.jp	Code.jmp	Code.cases	Code.return	Code.unreach	LetValue.lit	LetValue.erased	LetValue.proj	LetValue.const	LetValue.fvar	LitValue.nat	LitValue.str	LitValue.uint8	LitValue.uint16	LitValue.uint32	LitValue.uint64	LitValue.usize	Arg.erased	Arg.fvar	Arg.type	Alt.alt	Alt.default	DeclValue.code	DeclValue.extern	declHash
Effect4.Program.regionCode	program_region_code	false	8	0	0	0	1	4	0	0	0	0	8	0	0	0	0	0	0	0	0	14	18	0	4	0	1	0	7237876461778818255
Effect4.Program.buildWithScopeK	program_build_with_scope_k	false	8	0	0	0	2	2	0	0	0	0	8	0	0	0	0	0	0	0	0	14	9	0	3	0	1	0	4331052505822133579
Effect4.Machine.Env.currentMemoMapKey	env_current_memo_map_key	false	2	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	2580947289173894149
Effect4.Program.updateContextAt	program_update_context_at	false	4	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	14	5	0	0	0	1	0	9014412789583495083
Effect4.Program.addCurrentMemoMapK	program_add_current_memo_map_k	false	8	0	0	0	1	2	0	1	0	0	7	0	0	0	1	0	0	0	0	7	8	0	2	0	1	0	13853512304930195951
Effect4.Program.innerLayerAt	program_inner_layer_at	false	33	0	0	0	4	9	0	2	0	0	31	0	2	0	0	0	0	0	0	57	55	0	9	3	1	0	12580566755786275943
Effect4.Program.scopeAddAt	program_scope_add_at	false	6	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	14	8	0	0	0	1	0	16966197971070466389
Effect4.Program.constructionAt	program_construction_at	false	23	0	0	0	4	5	0	4	0	0	19	0	2	0	2	0	0	0	0	3	24	0	5	3	1	0	10881381431913821587
Effect4.Program.provideThenK	program_provide_then_k	false	9	0	0	0	1	2	0	1	0	0	8	0	1	0	0	0	0	0	0	7	13	0	2	0	1	0	5564806315031448532
Effect4.Program.combineWithK	program_combine_with_k	false	7	0	0	0	2	3	0	0	0	0	7	0	0	0	0	0	0	0	0	14	7	0	4	0	1	0	13352638139752852577
Effect4.Program.mergeAllCount	program_merge_all_count	false	6	0	0	0	4	4	0	3	0	0	3	0	3	0	0	0	0	0	0	1	4	0	4	3	1	0	16697381671322121648
Effect4.Program.Point.spineChild	program_point_spine_child	false	5	0	0	0	0	1	0	1	0	0	4	0	1	0	0	0	0	0	0	0	7	0	0	0	1	0	6468618018210663266
Effect4.Program.mergeContextsK	program_merge_contexts_k	false	8	0	0	0	2	3	0	0	0	0	8	0	0	0	0	0	0	0	0	15	7	0	4	0	1	0	5846840853769631002
Effect4.Program.serviceLookupK	program_service_lookup_k	false	7	0	0	0	3	3	0	0	0	0	7	0	0	0	0	0	0	0	0	14	6	0	5	0	1	0	16244031025342925135
Effect4.Program.bindServiceK	program_bind_service_k	false	7	0	0	0	1	2	0	0	0	0	7	0	0	0	0	0	0	0	0	16	7	0	2	0	1	0	378849059273872064
Effect4.Exit.restoreAfterFinalizer._at_.Effect4.Machine.contEOf.spec_0._redArg	exit__restore_after_finalizer_at_cont_eof_spec_0	false	2	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	5	3	0	2	0	1	0	8461391928508696264
Effect4.Machine.causeImage	cause_image	false	5	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	8011377342251308461
Effect4.Program.Node.at_._redArg	program_node_at_	true	3	0	0	0	2	3	0	0	0	0	3	0	0	0	0	0	0	0	0	1	5	0	4	0	1	0	10179167379475884930
Effect4.Program.caughtErrorValue?	program_caught_error_value_opt	false	11	0	0	0	2	3	0	0	0	0	11	0	0	0	0	0	0	0	0	4	12	0	4	0	1	0	13535546277367969706
Effect4.Machine.contEOf	cont_eof	false	5	0	1	2	1	3	0	0	0	0	5	0	0	0	0	0	0	0	0	19	10	0	3	1	1	0	10041854189982328950
Effect4.Program.orDieCause	program_or_die_cause	false	3	0	0	0	1	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	2	0	1	0	14494635787514872818
Effect4.Program.evalTerm	program_eval_term	true	5	0	0	0	2	4	0	0	0	0	5	0	0	0	0	0	0	0	0	1	7	0	5	0	1	0	16779532145856841930
Effect4.Cause.die._redArg	cause_die	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	6	4	0	0	0	1	0	10096065514257342593
Effect4.Program.frontier	program_frontier	false	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	7	2	0	0	0	1	0	10259387794993651991
Effect4.Program.Decision.decide	program_decision_decide	false	21	0	0	0	4	7	0	0	0	0	21	0	0	0	0	0	0	0	0	21	19	0	8	2	1	0	8205567252598851351
Effect4.Program.Point.childBind	program_point_child_bind	false	2	0	0	0	1	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	5	0	2	0	1	0	5900893559955576992
Effect4.Program.compileEff	program_compile_eff	true	89	0	1	3	17	35	0	2	0	0	87	0	1	0	1	0	0	0	0	161	117	0	48	5	1	0	13274814522809716433
Effect4.Machine.progOf	prog_of	true	91	0	0	0	2	27	0	0	0	0	91	0	0	0	0	0	0	0	0	221	109	0	28	0	1	0	9809952371676580223
Effect4.Program.Point.ofCapture	program_point_of_capture	false	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	1	0	1	0	6782708975492097927
Effect4.Machine.DeferredStore.wakeBatch	deferred_store_wake_batch	false	14	0	0	0	8	3	0	0	0	0	14	0	0	0	0	0	0	0	0	3	26	0	10	0	1	0	5081476932235615377
Effect4.Machine.Env.ambientScope	env_ambient_scope	false	3	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	11381641479029783834
List.mapTR.loop._at_.Effect4.Machine.exitsVal.spec_0	list_map_tr_loop_at_exits_val_spec_0	true	4	0	0	0	1	2	0	0	0	0	4	0	0	0	0	0	0	0	0	1	6	0	2	0	1	0	9357698972288772276
