module	original_radius38	historical_module	raw_closed	admissible_closed	total_theorems	source_path	source_sha256	olean_sha256	module_log	module_log_sha256	process_id
Effect4.Store.Carrier.Image.Containers	false		0	0	0	src/Effect4/Store/Carrier/Image/Containers.lean	26c6d7f70c368cc75a190b1453b0c7f7584e11405a1af1e361cbd95ab928607c	3689d09c992518cd02df13be39c2ef6c7b5c488865b2f26dd6a7c241d7c8c12f	before-fill/module-logs/Effect4.Store.Carrier.Image.Containers.log	66fef905568cb53e1d1b2538f87d36b07bcb86462370e49937e40a894f3c3ec2	000-ZeroCandidates
Effect4.Store.Carrier.Kind	false		1	1	10	src/Effect4/Store/Carrier/Kind.lean	efe84efb7270b1313545a1069aeee7672315f7711562889f4c4f33496878aa9d	820a35f9890679243ced8d201fb463a400d3450ee01be3149b9f3a15fea1827d	before-fill/module-logs/Effect4.Store.Carrier.Kind.log	856bb18630ee35ad2ee6c23e0f8157e4f805541344d5505674a0ca10982cee7d	084-Effect4.Store.Carrier.Kind
Effect4.Store.Carrier.Utf8	false		2	2	32	src/Effect4/Store/Carrier/Utf8.lean	acb9896cfb4e3a3604e90c1f04245b5bcbe3fc39d6c2c847b1a5bb38f4b4da4f	6afc862c5f9ecd3c0d2e71f4f6e0ebc400bc9ffb9ed2f787750e7ed1abb7066f	before-fill/module-logs/Effect4.Store.Carrier.Utf8.log	1aa2242617140cb9607abf28e335c4d9a424ca91141cd07f45463a1880f85d4e	085-Effect4.Store.Carrier.Utf8
Effect4.Store.Carrier.Val	false		19	19	58	src/Effect4/Store/Carrier/Val.lean	7d9f711fd8ec083a782009ee04ccec36e7f6a1d793946e3e1b49e163771f0e24	d7c51aee9be9a2489a1c04b14d2a9ce76f5a63a00cc54062942866954ba76e40	before-fill/module-logs/Effect4.Store.Carrier.Val.log	4293230111c36f1db884e82bd08aa026822d51efe80c83e4c6f608245cdd1f14	086-Effect4.Store.Carrier.Val
Effect4.Store.Domain.AnnotationsCanonical	false		1	1	1	src/Effect4/Store/Domain/AnnotationsCanonical.lean	dab64674464041e6b20122bdc883fbced6aa3e47618982c9ba55de472394a1f0	a01f32efbeb24b1ec736b29f971e68dc5328aeb9da0862316f7cd658298bf53d	before-fill/module-logs/Effect4.Store.Domain.AnnotationsCanonical.log	4156392b065db4814d48db003d1babc7d0a701117f70d82311b24de912ee4b02	087-Effect4.Store.Domain.AnnotationsCanonical
Effect4.Store.Domain.Canonical	false		7	7	35	src/Effect4/Store/Domain/Canonical.lean	5ff138afcc28cfaf4793cbfdd0fab12c3c2add8c81d35ed5bb29e35f8f4e6aa3	8f18f8911157e92fa533590d2134dd8cd683527e031f6770789ab3702ecfa1cd	before-fill/module-logs/Effect4.Store.Domain.Canonical.log	38998a3138bc48c0c05beb078b5f07bb03125edd49b239fb7840a632ecaf87a9	088-Effect4.Store.Domain.Canonical
Effect4.Store.Domain.Cascade	false		0	0	6	src/Effect4/Store/Domain/Cascade.lean	3107adfac35ef2226c1ad6c59e75a937775237e4b0aa2c86ccf7c30710e411c2	2bf8b86777a17bc6e05e758ecc9e2e7952b2eb01b77f6402c703a7c69d455370	before-fill/module-logs/Effect4.Store.Domain.Cascade.log	0626858e3e958896e56d551b6d121bec83fa030d62e566fcd113f8ce95943794	089-Effect4.Store.Domain.Cascade
Effect4.Store.Domain.Clock	false	Effect4.Store.Clock	1	1	3	src/Effect4/Store/Domain/Clock.lean	171966a79cc540898b5f5b6655103133bb6e0d8de3a806c0a1a83d4c97d85c39	1efb4b043f0ae78d792b57409ce13e84e9c7e1950284f9f7eb1d604b8c3cbc95	before-fill/module-logs/Effect4.Store.Domain.Clock.log	e12cdb785b10dd4a80b93f90ceefa6118924e521253d88e2b056c2ea97b52f4f	090-Effect4.Store.Domain.Clock
Effect4.Store.Domain.Derived.Json	false		5	5	17	src/Effect4/Store/Domain/Derived/Json.lean	54f25d6e1b7511f3897f9bc5778317a8723f275bcd2c65399476ded3ebd37c26	4497cdee8ec51b1e42e1cc2c0eaa46d8be44fadaa534910969529722a66a4727	before-fill/module-logs/Effect4.Store.Domain.Derived.Json.log	cbdf437675bc5181a484873b0d62344dbdc16dcc82db179e4197dbc055a815a6	091-Effect4.Store.Domain.Derived.Json
Effect4.Store.Domain.Derived.Program	false		24	24	127	src/Effect4/Store/Domain/Derived/Program.lean	04e1dee961944155fbc40ed7c6d6a9a189815179d98ca9336c7cdaae9501b40c	4908448f1b590848e65bcd0b05cf71e0472f03a9296423baf744b42821e3517f	before-fill/module-logs/Effect4.Store.Domain.Derived.Program.log	33eb634d667357839e66e6121719e8468bfc09aa067bae1b58351f78a65c66ad	092-Effect4.Store.Domain.Derived.Program
Effect4.Store.Domain.Derived.Schema	false		22	22	105	src/Effect4/Store/Domain/Derived/Schema.lean	ea10972375589d8c6f91016c2072516b31afb2485f9bdfa8395cff6883cb0930	98b14aa0d39ac4468e1926db5f36aabfeb147d0e9bf78b9fc2cfc1c28117d097	before-fill/module-logs/Effect4.Store.Domain.Derived.Schema.log	7944263cfd260549f0e1dc8436090a9b49107059806a5d7457fcd890f65c4f81	093-Effect4.Store.Domain.Derived.Schema
