theorem	axioms
Effect4.Machine.Env.Context.handleKeys_merge	[propext, Quot.sound]
Effect4.Machine.Env.Context.handleKeys_mergeAll	[propext, Quot.sound]
Effect4.Machine.Env.Context.handleKeys_mergeEntries	[propext, Quot.sound]
Effect4.Machine.Env.Context.mergeAll.eq_1	[propext, Quot.sound]
Effect4.Machine.Env.Context.mergeAll.eq_2	[propext, Quot.sound]
Effect4.Machine.Env.Context.mergeEntries.eq_1	[propext, Quot.sound]
Effect4.Machine.Env.Context.mergeEntries.eq_2	[propext, Quot.sound]
Effect4.Machine.Env.Context.mergeEntries.eq_def	[propext, Quot.sound]
Effect4.Machine.Env.decode_keys	[propext]
Effect4.Machine.Exhaustion.fuel.sizeOf_spec	[]
Effect4.Machine.Exhaustion.ofNat_ctorIdx	[]
Effect4.Machine.Exhaustion.tape.sizeOf_spec	[]
Effect4.Machine.FinName.keys.eq_1	[propext]
Effect4.Machine.FinName.keys.eq_10	[propext]
Effect4.Machine.FinName.keys.eq_2	[propext]
Effect4.Machine.FinName.keys.eq_3	[propext]
Effect4.Machine.FinName.keys.eq_4	[propext]
Effect4.Machine.FinName.keys.eq_5	[propext]
Effect4.Machine.FinName.keys.eq_6	[propext]
Effect4.Machine.FinName.keys.eq_7	[propext]
Effect4.Machine.FinName.keys.eq_8	[propext]
Effect4.Machine.FinName.keys.eq_9	[propext]
Effect4.Machine.FnName.modify._sparseCasesOn_1.else_eq	[propext]
Effect4.Machine.FnName.modify.eq_1	[propext]
Effect4.Machine.FnName.modify.eq_2	[propext]
Effect4.Machine.FnName.modifySome_keys	[propext]
Effect4.Machine.FnName.modify_keys	[propext]
Effect4.Machine.FnName.partialUpdate_keys	[propext]
Effect4.Machine.FnName.total_keys	[propext]
Effect4.Machine.Handle.cell.inj	[]
Effect4.Machine.Handle.cell.injEq	[propext]
Effect4.Machine.Handle.cell.sizeOf_spec	[]
Effect4.Machine.Handle.code_ofCode	[]
Effect4.Machine.Handle.existsIn.eq_1	[propext]
Effect4.Machine.Handle.existsIn.eq_2	[propext]
Effect4.Machine.Handle.existsIn.eq_3	[propext]
Effect4.Machine.Handle.existsIn.eq_4	[propext]
Effect4.Machine.Handle.existsIn.eq_5	[propext]
Effect4.Machine.Handle.existsIn.eq_6	[propext]
Effect4.Machine.Handle.existsIn_mono	[propext]
Effect4.Machine.Handle.external.inj	[]
Effect4.Machine.Handle.external.injEq	[propext]
Effect4.Machine.Handle.external.sizeOf_spec	[]
Effect4.Machine.Handle.fiber.inj	[]
Effect4.Machine.Handle.fiber.injEq	[propext]
Effect4.Machine.Handle.fiber.sizeOf_spec	[]
